Dynasty ID;Dynasty name;Name ought to be;Should be culture early;Should be culture late;Has characters in vanilla(x) doesn't(-);Redundant(%), Generic(/), Name dosn't make any sense(?);Notes;Early family(founded 7-950);cultures template;;
257;Ludowinger;;thuringan;german;x;;;;;#Landgraves of Thüringen;
258;von Kirchberg;;swabian;german;x;;;;;;
259;von Württemberg;;swabian;german;-0;%;12446 makes this redundant;;;;
260;von Tübingen;;swabian;german;x;;;;;;
261;von Zähringen;;swabian;german;x;;;;;;
262;von Raabs;;bavarian;german;-0;;;;;;
263;von Nassau;;franconian;german;x;;;;;;
282;von Heimbach;von Hengebach;franconian;german;x;;;;;;
283;von Vianden;;franconian;german;x;;;;;;
284;von Nörvenich;;franconian;german;x;;;;;;
285;von Jülich;;franconian;german;x;;;;;;
286;van Bonen;;franconian;german;-0;/;;;;;
287;von Limburg;;franconian;german;x;;;;;;
288;van Sulzbach;;bavarian;german;-0;%;219 makes this redundant;;;;
289;von Eppstein;;franconian;german;x;;;;;;
290;van Rheineck;von Rheineck;franconian;german;x;;;;;;#Should be German.
294;von Metz;;franconian;german;-0;/;;;;;
375;Roes;von Roes;franconian;german;-0;;;;;;
416;Luitpolding;Luitpoldinger;bavarian;german;x;;;x;;;
420;von Luxemburg;von Lützelburg;franconian;german;x;;;;;;
523;von Eppenstein;;bavarian;german;x;;;;;;
524;von Lusatia;von Lausitz;thuringan;german;-0;%;7295 makes this redundant;;;;
525;Babenberg;;bavarian;german;-0;%;247 makes this redundant;;;;
527;Orlamunde;von Orlamünde;thuringan;german;-0;;;;;;
528;Wettin;Wettiner;thuringan;german;x;;;;;;
529;von Hohenstaufen;;swabian;german;x;;;;;;
645;von Otakar;;bavarian;german;-0;%;101605 makes this redundant;;;;
646;Weimar;;thuringan;german;-0;%;216 makes this redundant;;;;
647;von Tirol;;bavarian;german;-0;%;12420 makes this redundant;;;;
648;von Zähringen;;swabian;german;-0;%;261 makes this redundant;;;;
649;Oeningen;von Öhningen?;swabian;german;-0;/;;;;;
651;Salian;Salier;franconian;german;x;;;;;;
653;von Schweinfurt;;franconian;german;-0;;;;;;
657;von Rheinfelden;;swabian;german;x;;;;;;
658;von Suebi;von Schwaben;swabian;german;x;;;;;;
664;Etichonen;;swabian;german;x;;;;;;,,,,#Alsatian,,,,,,,,,,
670;de Luxembourg;von Lützelburg;franconian;german;-0;%;420 makes this redundant;;;;
672;von Lenzburg;;swabian;german;x;;;;;;
795;von Egisheim;;swabian;german;-0;/;;;;;,,,,,#Alsatian,,,,,,,,,
797;Asperger;von Asperg;swabian;german;x;;;;;;
1053;Conradine;Konradiner;franconian;german;x;;;;;;
1054;Hunfriding;;swabian;german;x;;;x;;;
7100;von Nellenburg;;swabian;german;x;;;;;;
7101;von Arnstein;;franconian;german;x;;;;;;#same old tale, one loan woman that should be of another dynasty ID(238) or the other way around because each only got that one member -_-,,,,,,,,,,,,,
7108;von Köln;;franconian;german;x;;;;;;
7116;von Isenberg;;franconian;german;x;;;;;;
7117;von der Mark;;franconian;german;x;;;;;;,,,,,# cadet branch of the house of Berg,,,,,,,,,
7125;von Waldeck;;thuringan;german;x;;;;;;
7132;von Dachau;;bavarian;german;-0;;;;;;
7133;von Bassenheim;;franconian;german;x;;;;;;
7134;von Kerpen;;franconian;german;x;;;;;;
7135;von Tunna;;thuringan;german;x;;;;;;
7136;von Salza;;franconian;german;x;;;;;;
7137;von Malberg;;franconian;german;x;;;;;;
7138;von Hohenlohe;;franconian;german;x;;;;;;
7139;von Wüllersleben;;franconian;german;x;;;;;;
7140;von Osterna;;franconian;german;x;;;;;;
7141;von Sangershausen;;thuringan;german;x;;;;;;
7142;von Heldrungen;;thuringan;german;x;;;;;;
7143;von Schwanden;;swabian;german;x;;;;;;
7144;von Feuchtwangen;;franconian;german;x;;;;;;
7145;von Trier;;franconian;german;x;;;;;;
7146;von Orseln;;franconian;german;x;;;;;;
;;;;;;;;;;;
7165;von Henneberg;;franconian;german;x;;;;;;
;;;;;;;;;;;
7167;von Lechsgmünd;von Lechsgemünd;bavarian;german;x;;;;;;
7173;von Ziegenhain;;thuringan;german;x;;;;;;
;;;;;;;;;;;
7178;von Komburg;Comburg-Rothenburg or Comburg;swabian;german;x;;;;;;
7180;von Stahleck;;swabian;german;x;;;;;;
;;;;;;;;;;;
7220;Rapotonen;;bavarian;german;x;;;;;;
7221;von Lambach;;bavarian;german;x;;;;;;
;;;;;;;;;;;
7222;von Pluyvoise;;franconian;german;x;;;;;;
7223;von Scharfenberg;;franconian;german;x;;;;;;
7226;von Leistenberg;;franconian;german;x;;;;;;
;;;;;;;;;;;
7230;von Schwarzburg;;thuringan;german;x;;;;;;
;;;;;;;;;;;
7257;von Greyerz;;swabian;german;x;;;;;;Maybe better to switch it to Frankish and call it de Grüyere? All characters is German in vanilla though.;# IMHO von Greyerz makes most sense for German characters; alternatively make them Frankish and rename the dynasty de Gruyère
7259;von Grenchen;;swabian;german;x;;;;;;
7283;von Abensberg;;bavarian;german;x;;;;;;
7284;von Grünberg;;thuringan;german;x;;;;;;
7285;von Lichtenberg;;swabian;german;x;;;;;;
7286;von Hachberg;;swabian;german;x;;;;;;
7289;von Wolfach;;swabian;german;x;;;;;;
7290;Babenberger;Popponen;franconian;german;x;;;;;;IMHO, since it is a cadet branch, all characters from 1066 onwards can use 254 or 7165,,,,,,,,,,,,,,
7291;von Gudensberg;;franconian;german;x;;;;;;
7292;von Gerhausen;;swabian;german;x;;;;;;
7293;von Signau;;swabian;german;x;;;;;;
8665;von Frickingen;;swabian;german;x;;;;;;
8666;von Sigmaringen;;swabian;german;x;;;;;;
8667;von Regensburg;;bavarian;german;x;;;;;;
8668;von Lurngau;;bavarian;german;x;;;;;;
8730;von Leibrechtskirchen;;bavarian;german;x;;;;;;
8731;von Meran;;bavarian;german;-0;%;218 makes this redundant;;;;
8732;von Treven;;bavarian;german;x;;;;;;
10012;Gross;franconian;german;-0;?;;;;;# Franconian old nobility, one member was prince-bishop of Bamberg,,,,,,,,,,,,,,
12242;zu Schwaben;;swabian;german;x;;;;;;One Paradox made up charcater I think.
12247;von Attems;;bavarian;german;x;;;;;;
12400;von Saffenberg;;franconian;german;x;;;;;;
12401;von Nörvenich;;franconian;german;-0;%;284 makes this redundant;;;;
12402;von Querfurt;;thuringan;german;x;;;;;;
12403;von Mansfeld;;thuringan;german;x;;;;;;
12404;Meinhardiner;;bavarian;german;x;;;;;;
12405;von Kärnten;;bavarian;german;-0;;;;;;
12406;von Eschenloch;;bavarian;german;-0;;;;;;
12407;von Naumburg;;thuringan;german;x;;;;;;
12408;von Schrapelnau;von Schraplau;thuringan;german;x;;;;;;
12410;von Hardegg;;bavarian;german;-0;;;;;;
12412;von Seeburg;;thuringan;german;-0;/;;;;;
12413;von Veldenz;;franconian;german;-0;%;243 makes this redundant;;;;
12414;von Schmidtburg;;franconian;german;-0;;;;;;
12415;von Bamberg;;franconian;german;-0;/;;;;;
12416;von Kyrburg;;swabian;german;-0;%;101697 makes this redundant;;;;
12417;von Baumberg;von Baumburg;franconian;german;-0;;;;;;
12418;von Stolzenberg;;bavarian;german;-0;;;;;;
12419;von Altenbaumberg;;franconian;german;-0;%;12417 make this redundant;;;;
12420;von Tyrol;;bavarian;german;x;;;;;;
12421;von Ortenburg;;bavarian;german;x;;;;;;
12422;von Wangen;;bavarian;german;x;;;;;;
12423;von Frontenhausen;;bavarian;german;-0;;;;;;
12424;von Andechs;;bavarian;german;-0;%;218 makes this reundant;;;;
12425;von Eurasburg;;bavarian;german;-0;;;;;;
12426;von Geroldseck;;bavarian;german;-0;;;;;;
12427;von Bocksberg;von Bocksperg;franconian;german;-0;;;;;;
12429;von Vinstingen;;franconian;german;-0;;;;;;
12430;von Schoenecken;von Schönecken;franconian;german;-0;;;;;;
12431;von Daun;;franconian;german;-0;;;;;;
12432;von Limpurg;;swabian;german;-0;;;;;;
12433;von Leiningen;;franconian;german;x;;;;;;
12434;von Hohenfels;;thuringan;german;-0;;;;;;
12435;von Hunolstein;;franconian;german;-0;;;;;;
12436;von Blankenheim;;franconian;german;-0;;;;;;
12437;von Salm;;franconian;german;x;;;;;;
12438;von Falkenstein;;swabian;german;-0;;;;;;
12439;von Sponheim;Spanheimer;franconian;german;x;;;;;;
12440;von Brunshorn;von Braunshorn;franconian;german;-0;;;;;;
12441;von Stein;;swabian;german;-0;;;;;;
12442;von Bikkenbach;;franconian;german;-0;;;;;;
12443;von Heinsberg;;franconian;german;-0;;;;;;,,,,,# can co exist with the Dutch counterpart 425,,,,,,,,,
12445;von Sayn;;franconian;german;x;;;;;;
12446;von Württemberg;;swabian;german;x;;;;;;
12447;von Veringen;;swabian;german;-0;;;;;;
12448;von Gruningen;von Grüningen;swabian;german;;;;;;;
12449;von Eselsberg;;swabian;german;-0;;;;;;
12450;von Muhlhausen;von Mühlhausen;thuringan;german;-0;/;;;;;
12451;von Pfirt;;swabian;german;x;;;;Early lords of Mouson.;;
12452;von Lövenstein;;thuringan;german;-0;;;;;;
12453;von Landau;;swabian;german;-0;;;;;;
12454;von Tschudi;;swabian;german;x;;;;bit unsure how legit this one actually is;;
12455;von Glarus;;swabian;german;-0;?;;;bit unsure how legit this one actually is;;
12471;von Friedenthal;;bavarian;german;-0;?;a 19th century cadetbranch of von Falkenhausen :_;;;;
12476;von Hohenzollern;;swabian;german;x;;;;;;
12477;von Altenburg;;swabian;german;x;;;;;;
12480;von Urslingen;;swabian;german;x;;;;;;
100089;von Kleve;;franconian;german;-0;/;;;;;,,,,,,,,#German counterpart,,,,,,
100090;von Jülich;;franconian;german;-0;%;285 makes this redundant;;;;
100117;von Brabant;;franconian;german;-0;%;7198 makes this redundant;;;;,,,,,,,,# would probabably only apply to the founder of the house of Hessen (101895),,,,,,
100118;von Andernach;;franconian;german;-0;/;;;;;
100119;von Köln;;franconian;german;-0;/;;;;;
100121;von Nassau;;franconian;german;-0;%;263 makes this redundant;;;;
100122;von Leiningen;;franconian;german;-0;;;;;;
100123;von Mainz;;franconian;german;-0;/;;;;;
100124;von Pfalz;von der Pfalz;franconian;german;-0;/;;;;;
100125;von Baden;;swabian;german;-0;;;;;;
100126;von Nordgau;;bavarian;german;-0;%;653 makes this redundant;;;;
100127;von Lothringen;;franconian;german;-0;/;;;;;
100128;von Metz;;franconian;german;x;;;;;;
100134;von Sundgau;;swabian;german;-0;/;;;;;
100241;von Neuchatel;von Neuenburg;swabian;german;x;;;;;;
100242;von Aargau;;swabian;german;-0;/;;;;;
100244;von Bern;;swabian;german;-0;/;;;;;
100245;von Schwyz;;swabian;german;x;;;;;;
100249;von Schwaben;;swabian;german;x;;;;;;
100250;von Breisgau;;swabian;german;-0;%;Urach and Zähringer makes this redundant(since they were the two countly families);;;;
100251;von Fürstenberg;;swabian;german;-0;;;;;;
100252;von Ulm;;swabian;german;x;;;;;;
100253;von Württemberg;;swabian;german;-0;%;;;;;
100254;von Franken;;franconian;german;x;;;;;;
100255;von Thüringen;;thuringan;german;-0;%;257 makes this redundant;;;;
100256;von Weimar;;thuringan;german;-0;%;216 makes this redundant;;;;
100310;von Anhalt;;thuringan;low_german;-0;%;226 makes this redundant;;;;
100311;von Plauen;;thuringan;german;-0;;;;;;
100313;von Ansbach;;bavarian;german;-0;/;;;;;
100314;von Nürnberg;;bavarian;german;-0;/;;;;;
100315;von Kempten;;bavarian;german;x;;;;;;
100317;von Trent;;bavarian;german;-0;/;;;;;
100359;von Innsbruck;;bavarian;german;x;;;;;;
100360;von Oberbayern;;bavarian;german;-0;/;;;;;
100361;von Niederbayern;;bavarian;german;-0;/;;;;;
100364;von Lausitz;;thuringan;german;x;;;;;;
100434;von Abensberg;;bavarian;german;-0;%;7283 makes this redundant;;;;
100435;von Berlichingen;;franconian;german;-0;;;;;;
101554;Ezzonen;;franconian;german;x;;;;;;
101555;von Dillingen;;swabian;german;x;;;;;;
101558;von Calw;;franconian;german;x;;;;;;
101559;von Ohningen;;swabian;german;-0;/;;;;;
101560;von Cham;;bavarian;german;x;;;;;;
101605;Otakeren;;bavarian;german;x;;;;;;
101693;von Wetterau;;franconian;german;x;;;;;;
101694;von Julichgau;von Jülichgau;franconian;german;x;;;;;;
101695;von Helffenstein;von Helfenstein;swabian;german;x;;;;;;
101697;von Kyburg;;swabian;german;-0;;;;;;
101717;von Arbon;;swabian;german;x;;;;;;
101718;von Urach;;swabian;german;x;;;;;;
101881;von Cilli;;bavarian;german;-0;;;;;;
101888;von Katzenelnbogen;;franconian;german;x;;;;;;
101889;von Altena;von Berg-Altena;franconian;german;x;;;;;;#Altena on its own was a dutch countly family(two red rampant fish on gold)(and a family that actually ought to be added)-- however what paradox used this ID for however is von Berg-Altena( a cadet branch of von Berg- with seat in burg Altena in germany.)
101894;von der Marck;;franconian;german;-0;%;7117 makes this redundant;;;;
101895;von Hessen;;franconian;german;-0;;;;;;
101897;von Bucheck;von Buchegg ;swabian;german;x;;;;;;
200063;von Liebnitz;;bavarian;german;x;;;;;;
200064;von Virneberg;von Virneburg;franconian;german;-0;;;;;;
1020102;de Montjoie;;franconian;german;-0;?;;;;;,,,,,#Montjoie is the French name for Monschau
;;;;;;;;;;;
9515;von Klingenberg;;swabian;german;x;;;;;;
9554;Aribonen;;bavarian;german;x;;;x;;;
9556;Ernste;;franconian;german;x;;;x;;;
9557;Geroldonen;;swabian;german;x;;;x;;;
9558;Udalrichinger;;swabian;german;x;;;x;;;
9559;Alaholfinger;;swabian;german;x;;;x;;;
9573;Sieghardinger;;swabian;german;x;;;x;;;
9587;von Bregenz;;swabian;german;x;;;x;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
#############;;;;;;;;;;;
#Frisian;;;;;;;;;;;
;;;;;;;;;;;
246;Folcwalding;;frisian;frisian;-0;;;;;;
7128;Cirksena;;frisian;frisian;x;;;;;;
#############;;;;;;;;;;;
#Italian;;;;;;;;;;;
;;;;;;;;;;;
433;van Susa;di Susa;italian;italian;-0;?;;;;;
#############;;;;;;;;;;;
#Bohemian;;;;;;;;;;;
;;;;;;;;;;;
706;Prochaska;;bohemian;bohemian;x;;;;;;
7153;Pernstein;z Pernštejna;bohemian;bohemian;x;;;;;;
7288;von Wartenberg;z Vartenberka;bohemian;bohemian;x;;;;;;
12470;von Neuhaus;z Hradce;bohemian;bohemian;-0;;;;;;
12472;Kaunitz;z Kounic;bohemian;bohemian;-0;;;;;;
12473;von Rosenberg;z Rožmberka;bohemian;bohemian;-0;;;;;;
12475;von Waldenstein;z Valdštejna;bohemian;bohemian;-0;;;;;;
12478;von Pernstein;Pernštejn;bohemian;bohemian;x;;;;;;#duplicate
#############;;;;;;;;;;;
#Frankish;;;;;;;;;;;
;;;;;;;;;;;
555;Bluome;de Flandre?;frankish;frankish;x;;;;;;says 'of Flanders' in the files, but its not used of the counts of flanders themselves-- but only for the wife of Gui de Milly.
7228;Richwiner;;frankish;frankish;x;;;;;;
7239;de Grimmingen;de Gramines;frankish;frankish;x;;;;;;
9553;Wilhelmiden;Guilhelmides;frankish;frankish;x;;;x;;;
12456;von Chalôns;de Chalôns;frankish;frankish;-0;/;;;;;
#############;;;;;;;;;;;
#Pommeranian;;;;;;;;;;;
;;;;;;;;;;;
100308;von Wolgast;z Wologoszcz;pommeranian;pommeranian;x;;;;;;#Exsclusively made up of Pommerian charcters in vanilla-- practically ought to have just all been members of the Gryfita dynasty but Paradox decided to split of the dukes of Pommern-Wolgast as a branch for some reason(that I can't fathom)
101893;Niklotid;;pommeranian;pommeranian;x;;;;;;
101906;Nakonid;;pommeranian;pommeranian;x;;;;;;
#############;;;;;;;;;;;
#Other;;;;;;;;;;;
;;;;;;;;;;;
253;von Puteledorg;;?;?;-0;?;;;;;
305;von Margrave;;?;?;-0;?;;;;;
655;von Stad;;?;?;-0;?;;;;;
1154;Schmollinger;;?;?;-0;?;;;;;
10014;Gualch;;?;?;-0;?;;;;;
12251;von Schweipünt;;?;?;x;;;;;;
14287;Bach;;?;?;-0;?;;;;;
20024;Bloch;;?;?;-0;?;;;;;
100455;Jaworski;;?;?;-0;?;;;;;
100459;Cantemir;;?;?;-0;?;;;;;
101696;von Venis;;?;?;?;;;;;;
200079;Walter;;?;?;-0;?;;;;;
