#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
#JOBS;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
title_cupbearer_hungarian;Pohárnok;Pohárnok;Pohárnok;;Pohárnok;;;;;;;;;x
title_master_of_the_hunt_hungarian;Fövadászmester;Fövadászmester;Fövadászmester;;Fövadászmester;;;;;;;;;x
title_seneschal_hungarian;Udvarmester;Udvarmester;Udvarmester;;Udvarmester;;;;;;;;;x
title_grand_butler_hungarian;Fökomornyik;Fökomornyik;Fökomornyik;;Fökomornyik;;;;;;;;;x
title_court_jester_hungarian;Udvari bolond;Udvari bolond;Udvari bolond;;Udvari bolond;;;;;;;;;x
title_keeper_of_swans_hungarian;Asztalnok;Asztalnok;Asztalnok;;Asztalnok;;;;;;;;;x
title_grand_butler_dutch;Hofbutler;Hofbutler;Hofbutler;;Hofbutler;;;;;;;;;x
title_court_jester_dutch;Hofnar;Hofnar;Hofnar;;Hofnar;;;;;;;;;x
title_keeper_of_swans_dutch;Zwaanhoeder;Zwaanhoeder;Zwaanhoeder;;Zwaanhoeder;;;;;;;;;x
title_master_of_the_horse_frisian;Master fan de hynders;Master fan de hynders;Master fan de hynders;;Master fan de hynders;;;;;;;;;x
title_high_almoner_frisian;Ielmisenier;Ielmisenier;Ielmisenier;;Ielmisenier;;;;;;;;;x
title_cupbearer_frisian;Hofskinker;Hofskinker;Hofskinker;;Hofskinker;;;;;;;;;x
title_master_of_the_hunt_frisian;Jachtmaster;Jachtmaster;Jachtmaster;;Jachtmaster;;;;;;;;;x
title_seneschal_frisian;Senesjal;Senesjal;Senesjal;;Senesjal;;;;;;;;;x
title_grand_butler_frisian;Hofbetsjinder;Hofbetsjinder;Hofbetsjinder;;Hofbetsjinder;;;;;;;;;x
title_court_jester_frisian;Hofhealwiis;Hofhealwiis;Hofhealwiis;;Hofhealwiis;;;;;;;;;x
title_keeper_of_swans_frisian;Swanbeweitser;Swanbeweitser;Swanbeweitser;;Swanbeweitser;;;;;;;;;x
title_high_admiral_dutch;Hoge Admiraal;Hoge Admiraal;Hoge Admiraal;;Hoge Admiraal;;;;;;;;;x
title_high_judge_dutch;Hoge Rechter;Hoge Rechter;Hoge Rechter;;Hoge Rechter;;;;;;;;;x
title_state_inquisitor_dutch;Staatsinquisitoir;Staatsinquisitoir;Staatsinquisitoir;;Staatsinquisitoir;;;;;;;;;x
title_designated_heir_dutch;Bekrachtigd Erfgenaam;Bekrachtigd Erfgenaam;Bekrachtigd Erfgenaam;;Bekrachtigd Erfgenaam;;;;;;;;;x
title_high_admiral_frisian;Heeche Admiraal;Heeche Admiraal;Heeche Admiraal;;Heeche Admiraal;;;;;;;;;x
title_high_judge_frisian;Heeche Rjochter;Heeche Rjochter;Heeche Rjochter;;Heeche Rjochter;;;;;;;;;x
title_state_inquisitor_frisian;Steatsinquisitoir;Steatsinquisitoir;Steatsinquisitoir;;Steatsinquisitoir;;;;;;;;;x
title_designated_heir_frisian;Oangewisen Erfgenamt;Oangewisen Erfgenamt;Oangewisen Erfgenamt;;Oangewisen Erfgenamt;;;;;;;;;x
captain_catalan;Almogaten;Almogaten;Almogaten;Almogaten;Almogaten;Almogaten;;;;;;;;x
condottiero_catalan;Adalil;Adalil;Adalil;Adalil;Adalil;Adalil;;;;;;;;x
